TT1;TS1;ES1;LS1;SS1;TT2;TS2;ES2;LS2;SS2;TT3;TS3;ES3;LS3;SS3;TT4;TS4;ES4;LS4;SS4;TT5;TS5;ES5;LS5;SS5;TT6;TS6;ES6;LS6;SS6;TT7;TS7;ES7;LS7;SS7;TT8;TS8;ES8;LS8;SS8;TT9;TS9;ES9;LS9;SS9;TT10;TS10;ES10;LS10;SS10;TT11;TS11;ES11;LS11;SS11;TT12;TS12;ES12;LS12;SS12;TT13;TS13;ES13;LS13;SS13;TT14;TS14;ES14;LS14;SS14;TT15;TS15;ES15;LS15;SS15;TT16;TS16;ES16;LS16;SS16;TT17;TS17;ES17;LS17;SS17;TT18;TS18;ES18;LS18;SS18;TT19;TS19;ES19;LS19;SS19;TT20;TS20;ES20;LS20;SS20;TT21;TS21;ES21;LS21;SS21;TT22;TS22;ES22;LS22;SS22;TT23;TS23;ES23;LS23;SS23;TT24;TS24;ES24;LS24;SS24;TT25;TS25;ES25;LS25;SS25;TT26;TS26;ES26;LS26;SS26;TT27;TS27;ES27;LS27;SS27;TT28;TS28;ES28;LS28;SS28;TT29;TS29;ES29;LS29;SS29;TT30;TS30;ES30;LS30;SS30;TT31;TS31;ES31;LS31;SS31;TT32;TS32;ES32;LS32;SS32;number;name
6583675767169660;27447482049;6741471341467670;6767113122291100;12222011832;1049164518377360;198707803322;1148955577205560;1165171624265140;9774591356;8636024368336060;151093676059;9401918212280520;9526375961921490;72359156768;7046277930056620;476738268053;8984695727960500;929968862011989;259895125544;6222466812204300;29456871088;638854465139946;6415532300268670;12278275191;6220935297666290;29197087891;6385986435513060;6412807245413160;12169151497;8989399898231460;130188086653;9626019641963020;9729470350319400;115846257958;7982204149750810;166265168379;8777117919770790;8906291407399040;87873120836;6737046194067100;29326675062;6883239669250590;6906996108967910;20444440376;9291117827646250;188080505426;1022531369809900;1037711360443910;59204331646;9066940428364290;161895993494;9801462550845230;9920822395748380;39108730309;6835982307166540;52129771212;7049453720278810;7084142824909550;23614094371;5687208769766090;22236006202;5740108228520810;5748704390568450;5549491315;6907490440394580;490860918248;8352094122798510;8586842221189150;94656491287;9518197641820820;103568340371;1004670688273480;1013258963438330;82898408927;8779319988144150;100028674424;926615954656366;934527097480683;94971702573;6380969223872950;9549221366;6457802258986030;6470287627191900;16781408879;1013803181945770;182058103694;1107198989140570;1122375807809730;89591609617;1277638172561700;177902589761;1368457444634950;1383215576346850;118349091515;7411066582903230;22583864328;7546818191379760;7568877827757200;11141230494;5775544177487590;10844783429;5858268185486290;5871710836786070;15415884518;6617831221157920;13432678391;6705291390161720;6719503667624840;8899359714;1278739893344520;125800767158;1342344761219600;1352680552249300;117853945607;1003348397962820;75111992823;1043180287756840;1049652969848370;64533221252;608391074622173;24006792422;6212203044923130;6233050543462110;14019837619;6664422833836810;259251165099;8023417441284450;8244197404792370;41274997852;1423868783252020;152248050679;1500327754303050;1512747720662500;159026457868;7820080565765800;29377757842;7976575881790400;8002006370644390;34043492442;8966868184885700;112409239705;9523518739905440;9613974455096150;135412747291;1338920231499800;129195617747;1403479281687780;1413970127343330;136599552807;1280998444811740;130094890785;1346019871226330;1356585853018700;12653870.41;1008518245641690;80967545625;1050661853139640;1057510189358060;67471292792;1;QUIMICA1RIP
667916916273855;12176566866;677089524094099;6785800728648880;4378815425;1072180133631580;138256791024;1140714024942160;1151850413559290;25719142303;8866836714424880;96793248341;9348286331673330;9426521894476200;19170684343;7238847414805290;465803341475;8766216571502440;9014414059465730;46962627808;6243685306969590;26870295566;6368900884306710;6389248415623990;3977234425;6241558649476750;26679598297;6366259091919070;6386522913815950;3948523363;9141854411805400;89262386259;9541482115087800;9606421616871190;14722172247;8350943868084220;8966815913;8772204879678670;8840658669670530;14499849606;6808525915838770;12215838403;6889150449295820;6902251935982590;4082731906;9493112330929420;136279639023;1012817544877610;1023137320542620;5584294191;9223657612692820;122217069337;970409291225574;9782163648434710;41793755984;6908870792589320;27571244603;7043363323763470;7065218360079270;12257451663;5670355989767170;5720745785;5758472637098020;5772444575709080;10856207157;7627038569475480;234713452999;8284705664778290;8391576567765000;3621514842;9701573047418780;57226761484;1001397393835930;1006473908313710;13664911111;889671752299693;6993606164;9183245567536450;9229806374774130;9724479373;6429562949174020;1151783.07;6476325341816810;6483924230621260;27532205813;1034089211819420;139110663944;1099471223873020;1110095800831730;23407307686;1297565327579910;14210097239;1358682955804770;1368614570391310;20524105366;7461468589033920;23825256515;7560724607676250;7576853710705630;5461938039;5800342290013220;8525277205;5858953570798970;5868477903926650;2749518801;6630260283611330;8206533196;6686253459609640;6695352350709370;2568131837;1297854756385780;87098878128;1337449906382600;1343884118257080;13520092193;1016803812430.47;47197139905;1041303847755050;1045285103495290;10308792699;6112691311181150;19741597553;6204509481402240;6219429934063160;2532323941;6837951444258720;154301574503;7787677635327320;7941933125402040;34424345029;1441497787519190;111494926547;1488269909205800;1495870378979870;31303417521;7842855292913090;25235361117;7946951157519460;7963866735517990;16551446183;9082528692600290;8693729752;9406109313970030;9458608499764750;6980346469;1355247050726980;89573581391;1394775872194640;1401186794381760;9710575867;1297578785571900;83967095802;1337790627751500;1344319158159470;12879326116;1019735800886750;52193254623;1046688397574000;1051068194535680;10674620916;2;QUIMICA1RIP
6668845741785790;2084019421;6754894903677320;6768877892484700;903877751;1069426767345690;126105296137;1134761921274490;1145378076756150;20306341778;8822509653574340;84083544903;9288668826515680;9364417302640560;19970597449;7161326959572760;262013473115;8609999452424240;8845084823061640;49398060651;6260421898353650;14760648858;6357487925246120;6373261154616150;5023321455;6258457793671430;14650447202;6354784484026350;6370437571209030;4980301363;9102975730486560;96357687026;9471736598734150;9531639482543270;14078233563;8253857707423420;101734008934;8707998323303590;878179464818937;14040396668;6802157715124790;16180258348;6911908407502160;6929742895013480;5047972689;9481802769709250;136391449914;1006787682998830;1016310765009180;1950252306;9203045761825570;158380481246;9668525996206800;974416653429376;12233630614;6911047576301490;25173904845;7075256957607950;7101940982070250;8284391326;5724158616610510;12642134885;5764853648806550;5771466591538400;15782679551;7219608616967100;413691044339;8172752783125020;8327635350437310;25423927661;9643784360296370;71766021023;9962138429552970;1001387061559860;12264624477;8856899946100230;9012580779;9145392656835600;9192272722330100;9863258046;6440823856379400;10551261925;6490678568972770;6498779959769200;1664213393;1030340486350960;151536232459;1091439895278250;1101368549228930;1994907364;1292865420861580;166827315666;1349386515409160;1358571193273150;17238509504;7483315323854300;2075808088;7570374715066800;758452186613884;4152377773;5825045480986630;6468210355;5875659227016010;588388396074579;2819586469;6635825352863980;5012671948;6685310450336980;669335177867635;9274888511;1292164900688.61;100634958302;1330607454759.82;1336851085515120;1270063213;1014257931533960;51852553959;1038027142268840;1041889639013.26;950417506;6127434223926110;17742394361;620697337784821;6219898490360550;4713753651;6803577398783210;137122793898;7796483549395620;7957744058274750;45579567235;1438778133031380;15877561835;1485029470656780;1492543017892260;15358845535;7856272381147680;25981107904;794834942755858;796331194760035;3817943364;9049289092682970;11643273404;9370410573165080;9422530576366240;9666172701;1352729703145990;119555214707;1390401551300080;1396515137453050;8152535209;1294547044111490;9022376825;1332810944226400;1339023215361160;9525101403;1018447823555640;58023240653;1043531270489970;1047607330616800;9381035965;3;QUIMICA1RIP
6679180234333780;13124449258;6739775816557480;6749622598668830;2843425386;1073906017933490;115715329733;1125769628719990;1134194504631460;16078007465;8863457156890530;72367673897;9229637586810400;9289129880456840;12337680142;7217009879279000;191287276788;8489452844476050;8695361789470320;49142946299;6239414169511200;13299776558;6325317426298830;6339276705526820;8857410678;6237071440968280;1315299859;632247386081335;6336351754038170;9233461893;9145704309026960;58090567328;9462820716071810;9514242936092440;9542070889;8378979166962200;60538394448;8736882154936850;8795038118814290;12917806281;6850880392540270;12777371209;6932745009877790;6946048010195130;3592492659;9498381785353350;97372533244;1002292762193830;1010815715959360;1852816036;9219838931626250;96450617362;9628693098624560;9695131900761780;16858361364;6952536993977650;2636792863;7090151213497080;7112513524168990;4794663523;5685603537598710;14440472127;5732116298318620;5739674621935610;3304907572;7666633853873980;19209835005;8208735397713910;829682689858.79;1414215779;9720626777950640;38510494306;9967479046451900;1000756430463620;8653984928;8908290563827790;55036461452;9130417722249100;9166498349604400;6581654023;6450094434069490;590470567;650201451102971;6510451523535740;6435554925;1036043693050540;100551362035;1087656707183040;1096041395311.22;14793027749;1299088314669670;95454065017;1346939437462600;1354707332478750;13035568075;7506261569803900;14345814523;7580601580663270;7592681832427920;6655786096;5835598224601470;7545573109;5872330074497250;5878299000105320;2750656962;6649159455680900;4046945924;667539985304934;667966391762171;9249597771;1298950982459900;53445610442;1329174475165090;1334080593516590;10105290116;1017785289814260;30727425061;1038283555072680;1041614486188260;8913382702;6125662756917370;12646668631;6189199620117250;6199524360387230;7693547146;6894474399619630;123678720488;7829609205231210;798150652829692;63132719479;1444182886635750;90575076243;1484715233254460;1491290885188670;9630421696;7848463295280980;21342113501;7928304141886890;7941278279460350;1953936382;909646478226.16;64522326919;9359844920745700;9402414343995330;5837825459;1357413794809410;42293201122;1388854560523530;1393944957618410;12942784375;1299898809146210;54323181308;1331493171395230;1336615210592000;9888106557;1021635459924570;40519822125;1044136117150310;1047790565860060;8111983817;4;QUIMICA1RIP
6675598911072190;9861694326;673754021313646;6747605674721900;3565519513;1074805840058160;79825084656;1125087660883130;1133258456767190;35836824053;8872459852847160;53062444315;921062681046.57;9265578941078710;2587200123;7212651495737100;145599462861;8226023757247190;8390696749742580;117876157835;6234541782324200;1013671728;6314185969994560;6327128150491000;9224647538;6232723253653980;10027369693;6311919419489700;6324788796438010;9056563651;9147388316383640;47996904685;9415067053813790;9458564848646190;15974217713;8405820706913720;54595380559;8700198998890500;8748035471336730;16472614479;686812442798882;7720155167;6929708105754120;6939715453390980;4731606448;9505361131153250;85872774055;9984702955925870;1006259363055760;1582179.05;9221474399679560;7734182989;9600217340649380;966176129617762;17854353214;6969922991376160;1901345584;7085334668326220;7104089065830600;3971706375;568750175597.01;5536380431;5739145112634360;5747537158092310;4533790091;7678701773686460;136502084422;819085759443863;8274082915310850;1842899045;973214904791767;32377893147;9936000263170550;9969126085649140;1130574146;890944916209186;35946595164;9107335168470780;913949164450736;10989909787;6468324297065540;862640358;6503356122003860;650904879355634;12821332325;1036890897902450;75496767666;1082589091370390;1090015047808930;20995070508;1299457897644860;69813183339;1340556918676730;1347235509594410;18222621876;7516660299006440;12432082722;758419137235302;759516517177184;2731159636;5836114666701780;4101092102;5875682003306470;5882111695504730;5605660155;6648388983089120;3575309796;6676051154981150;6680546257913600;214973837;1300013700186900;43890957514;1324974487725300;1329030615700290;1401080475;1018982557315.93;25354029096;1036035677285.65;1038806809280.73;9444894325;6129446800930160;7390342023;6193040694034280;6203374701663700;446586328;6912528616194250;121641173504;7807564370835120;7952924211946520;43403953751;1445174088983360;66065954577;1482230482905870;1488252146918280;19834202939;7850398768202180;14501620597;7927402373570620;7939915459442990;3017382656;9102223503360770;39610558042;9333430330650550;9371001440085130;13910073837;1358749672476.85;45653569896;1385776585855420;1390168459279.44;15415491134;1300618896184260;46607172813;1328103145992100;1332568825957.63;15603354177;1022188259679490;32314791559;1041819495551540;1045009571380750;12033481061;5;QUIMICA1RIP
6734854218899970;21221889874;6820314769423050;6834202108883050;505361698;1082255702040000;170880070947;1163338295704200;1176514217174.64;46394089685;8911953187518040;128439888862;9501877597061260;9597740313612030;30307529735;730511120951437;779103156998;9027708289636480;9307291074997950;46434609759;6247544076613100;36093089058;6382568322778740;6404509762780650;3471197596;6245457306298090;36084226153;6379510206457380;6401293802733270;3690883815;9226730728105030;103247770811;9727172673227890;9808356350799000;13664985284;8506203472052770;93118634483;8943209223680680;9014211787763230;15408542553;6831139887762490;17604153986;6945250013899200;6963792909396420;6425119715;9597607474569240;157388332504;1037479106047320;1050108339318260;3445902666;9337387960743550;135491394167;991498777407929;1000884774374630;21666659665;6931969200973840;31160769242;7121707124886110;7152539537521850;11526135565;5730238141695820;22271263635;5785181349082350;5794109620282660;7030134803;7670854719306960;287838250696;8459531526214670;8587691507337170;37939603648;9806768425387880;7298768549;1018345787019990;1024466681893020;31846487373;8997378211499220;75707811059;935078227352465;9408210433603780;33138003508;6470668887614060;12469592669;6528602615156480;6538016845882120;2507118702;1045358313075770;161631331063;1120694676484080;1132936227828880;21906856379;1310339508590460;204330581293;1380731393846060;1392164598421.19;15877245626;7535313955626870;22670194872;7630710135646220;7646212014899360;2498691047;5840851054510310;6860678213;5903955572710910;591421005691851;3823446759;6646527168244270;12576883431;6706858478063690;6716662315909340;3182031109;1309901310608870;99613627705;1357148054229560;1364817076040950;13810592133;1025873916531770;56033964893;1055151663188240;1059909297019920;11686646602;6154001316827620;16397379433;6252926706944770;6269002082838800;12911948509;6926923703375390;281566573332;8280132654811380;8500001663566630;60403573834;1455756975510090;11466344654;1518168289462060;1528303661576560;31282012699;7890431268013540;2720261546;8009497115880810;8028845316159240;7455953865;9194276730738760;80595632207;960749053706648;9674534607444180;10926347845;1367471701653490;94199000039;1417679768674260;1425826170699240;13859139205;1308890990140.42;9313155598;1359563869749310;1367780076996380;14214891431;1028758954906450;58843844111;1060923000097740;1066145330829470;13967185696;1;QUIMICA1RIP
6736213087867000;1296623069;6799358631328950;6809619782141510;5297444921;1090614534165460;127971695537;1159245754482050;1170398327783500;7342049573;9005467035527230;85776234234;9479981163308900;9557089709073420;53959794097;7392449086985370;432551177695;8979046806771140;9236868936236330;94613625492;6267719028406080;28527519291;6380688004797990;6399045463461670;5749282388;6265807293270620;28113372654;6377923423416530;6396142294565240;5787443186;9269178009339620;82295386193;9679585100283410;9746276252561770;35342423041;8540734568765200;72603405153;8933083370212360;8996840050447520;37262817203;6888003471167820;1644851079;6981167836279840;6996307045610540;7893226971;9659411199868640;119482324294;1029159217770570;1039432158660420;53365926701;9375778470695040;106693611131;9869449809398240;9949671401937510;38365180554;7006703260570360;31019184372;7163164026543300;718858890101391;11205321494;5719191422212120;8554886348;5768647220190060;5776683787361470;3945295617;7828723206628310;14818630652;844680829112353;8547247117354000;48056854656;9839319874700070;5558312066;1015675507679.17;1020832865337390;28925169143;9013868096967010;57729429431;9314407506582480;9363245160644990;30016996965;6487890640703040;9850491729;6547486115666040;6557170380347530;4161695179;1051615007856750;122351938984;1114503904494760;1124723350198.44;58164175889;1315946287069440;11104176146;1374010024136860;1383445381410320;71425868838;755771433859553;15303427492;7645280550704050;765951006017169;5536774112;5879084925797440;7388796938;5919095261214730;5925596940720040;1353107077;6658875186340690;10332868504;6708979265716900;6717121178615530;1494751771;1313777612662870;76820148951;1353339989372.82;1359768027371.9;33778444556;1028736561740680;44293197839;1053651485524900;1057700160639830;24345611034;6158540805128770;13864091825;6240366675079320;6253663378946280;3444741934;7046974879450350;293200723042;8227400990415620;841922020459.75;75046640916;1460944543765500;108220012543;1512132609698360;1520450670412450;55938538763;7879572106126420;20702403113;7986644935025170;8004044269721220;1174836914;9224381910411760;71152383875;9562142276667650;9617028336184230;31891957883;1372055259805740;79307012307;1413326629010450;1420031412808340;37435978771;1314351837200850;78447467835;1355693652749870;1362411697776580;39126645467;1032246102946320;47061786445;1059927845733400;1064421926538.37;27913545372;2;QUIMICA1RIP
6742184398916100;8798523703;6798873287134670;6808085231470180;2563145335;1100868129597420;102001481712;1155765327054960;1164686121641810;28982438554;9084165679099590;65969943496;9454520941887780;9514703672090860;20589370579;7508859623950100;395064376657;891212828983632;9140124059725800;50175125416;6266127046885230;21172355972;6371480690204220;6388600657243560;3125222169;626385926412865;21360493031;6368739284909160;6385782288285990;3052113785;9333437193480590;56951954436;9644110104930230;9694583292928950;15468338339;8643826867905240;50099599022;8925887610399070;8971721827424070;14550545087;6926134056106280;8427298893;6978821528783690;6987383243093770;1964597134;9727622222083000;115616269719;1021321055490160;1029209316804.82;14830346521;9426188067836410;101379096242;9794599703580720;9854419595332070;8291045288;7051306240656830;25964173837;7144491660558730;7159634291292790;13879588207;572953682172205;7405679486;576543215018906;577126514106495;3611759056;7905765531871840;138233584393;8376727353899640;8453222695701450;12736487146;9915887114928810;38736034278;1014105968218900;1017765013589630;10971650287;9065662825806990;42920145929;9277387905673460;9311793231151760;8104905884;6514915001601760;4507926226;6552925835537390;6559102596051930;1886033745;1060280767069420;108934585696;1112220777529180;1120660999567750;19212888774;1323910384621640;11782810375;1370735273051730;1378344317421620;15961913929;7576321908011500;12857149849;7648514804412830;7660246150078040;3830018173;5884237288251440;5604411943;5918749256996630;5924357451917720;1863806886;6665575317709240;6162111604;670503131830869;6711442918406090;220102.99;1321006926274030;54364119001;1350472278772500;1355260387705230;13172239155;1035491576877890;29358106171;1053306075702270;1056200931761230;10143153675;6168015853589840;11385376466;6235064335600240;6245959713926930;4050326515;7183566046999200;226871103362;8217417665021480;8385414683599460;34832473269;1469024553301370;73110629586;1505813822108950;1511792078290180;14193390744;7888653180808820;15154327922;7969471211615610;7982604141621710;21998207715;928371215595908;46968177363;9531798068791550;9572033888808960;6830049231;1380318315658780;54810201316;1410918851053230;1415885539758910;9660938933;1321931700014840;55367476026;1352749237170970;1357753996928890;10523044066;1038435658494490;31720430724;1058939744914470;1062271658957720;12200344355;3;QUIMICA1RIP
6667813321585110;-7906392342;6743224491744160;6755478806895000;17186977771;1098280249139330;138596764751;1164058273690180;1174747202679690;69228814699;9056520825341590;95179996432;9511005308304140;958485903678556;16615012032;7482197888641280;454560981742;9053160641542990;9308442088889520;164804033148;6263813004144030;2512192968;6375680957008160;6393859499348580;11959567329;6261332838077190;24924864934;6372796834060490;6390909733407770;11529534912;9313172767876570;90576837299;9692689716158310;9754361220254090;6574787217;8611473632706840;77596179292;8973847790001120;9032733590561440;12693640992;6875689764874690;4839983021;6901907952899310;6906168408453310;3318111802;9716525909538680;113509899355;1029258864876.67;1038619884389120;57748423889;9429375370417250;90781715479;9865672295009990;9936570545256310;50034050985;6998114777587210;12869871768;7063249198603300;7073833542018410;728949271;5714073546374150;5113139682;5749850184729250;5755663888461950;8944159589;7913410380258500;125703697144;8447776796818560;8534611339509580;73093049403;9886915015153750;53759940324;1018340108603940;1023157991061180;10224708101;9049907726314670;56896255506;9318230467280820;9361832912687820;40223658125;6502953350183620;3996560674;6540165326621930;6546212272793160;4170307704;1058725198951380;130759631913;1120012238428.79;1129971382343860;59886614041;1321590606362320;129192096683;1377039854258620;1386050357041.77;62790960161;7557882842780600;18252922623;7634855417480220;764736346086891;3573726682;5828782284025330;-6051665896;5893172009157480;5903635339491450;8206533595;6650216500808420;6637147484;6687723021238960;6693817830808920;7396613556;1318761538142600;79079179966;1354797920453180;1360653641391910;11938268988;1032612822900.68;40418029621;1054794237556440;1058398717438000;3297785802;6193125788178960;17219505038;6320067979322230;6340694461026270;5310628657;7057845484692190;302014450817;8153251897804320;8331255439935040;74665915323;1466536562192340;101363941282;1513670794888650;1521330107701800;48141501025;7909544823993250;19720373045;8052300604468800;8075497263056510;4663582346;9276220875139110;67216842749;9584006798086010;9634022010564880;30892657492;1375966285898000;57978836073;1414458435166700;1420709200801220;33787922349;1320212210348350;7835077367;1356692330569310;1362619843454090;50749254151;1036179317415770;45791390657;1060865456119170;1064876932790700;35912951401;4;QUIMICA1RIP
6483444406885180;-4115391402;6517128885512510;6522602613289450;9372821536;1097319999047950;103838209741;1150557849182070;1159208416965320;2968623124;9046542394685820;65009224339;9393041560410400;9449346373733710;15396448817;7946491916045070;295977839202;9005796602549510;9177897888786240;49157750996;6237182387544980;24888806086;6294327086317390;6303613099867910;12790652273;6234794130766260;24493651107;6291741869590380;6300995877149300;11909919638;9263633878912640;69374308882;9587056906921510;9639613148972950;26423450001;8611900311457350;52722831712;8909942479126590;895837433137285;18471339529;6782915467108050;11115450927;6845884496611720;6856116963906070;2163769781;9692528210892340;108463583044;1020805562110230;1029182882526140;36855787136;9404214511450310;92339877715;9787425003969230;9849696709003560;2506912441;6887148326675010;22991473616;6991759531627000;7008758852431700;5943818463;5631117988822560;7135179017;5669262655846480;5675461164237870;9746082376;7856029758054100;149024683564;8365992225211520;8448861126124600;2798679531;9844627546465970;51368870827;1011713940620450;1016142258341200;15144725447;8992124881349280;5763107755;9248295021059390;9289922668762280;12972155719;6438253121779370;547986298;6465455161612560;6469875493085450;6071883891;1054245171411280;12138664517;1106526399486180;1115022099048350;26791862385;1314915088924040;11583415.69;1361329835594.02;1368872231927.89;31611049178;7496727746343690;8173418782;7541673376224540;7548977041080180;2921465942;5689576333901400;-2820313253;5725952734235560;5725952734235560;NaN;6543774850320730;8770002649;6573759489378720;6578631993225650;1171838347;1311085837516.27;6183648427;1343778786749670;1349091391000.1;22482455567;1026620073656450;33332552947;1046592939382380;1049838530062850;13545870954;6251576550257030;14032565639;6288103318615890;6294038918474200;11592968473;6965325774485160;212409709672;8128693754359380;831769423550417;40829656761;1462952306556190;96362257535;1505698603998.9;1512644877333.34;33014607103;7976890095758430;25286734433;8038918455323250;8048998063752530;218362401;9257420741702150;65404327725;9532969174408000;957774579472271;19333601172;1374831755064060;71752165513;1408318490709070;1413756193737180;23662763395;1315136531057190;67972684489;1348823793489760;1354292272769860;12867010071;1031720560151380;39733066296;1053760492025730;1057341980955320;11902588666;5;QUIMICA1RIP
