@relation 'fitxerfinal2.txt_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.158TS10-0.155TS32-0.155TS16-0.152TS29-0.152TS30... numeric
@attribute -0.191SS27+0.186TS5-0.185SS7-0.172SS12-0.167SS23... numeric
@attribute '-0.24TT15-0.208TT10-0.206TS1-0.197TT24+0.18 TT26...' numeric
@attribute '0.217LS8-0.206LS15-0.193ES15+0.193LS16+0.19 TT11...' numeric
@attribute -0.247TS13-0.215ES31-0.195TT16-0.191TT31-0.167SS21... numeric
@attribute -0.256TT17-0.253TT21-0.221TT20+0.214SS21-0.198ES21... numeric
@attribute -0.25TT14+0.206ES30-0.202ES31-0.195SS24+0.188SS17... numeric
@attribute -0.279TT29-0.264LS25-0.223LS5-0.211SS21-0.179ES13... numeric
@attribute 0.291ES30+0.242ES28-0.233ES12+0.226LS24-0.206TT29... numeric
@attribute 0.226ES21+0.202LS9+0.192TT31-0.187LS4-0.182TT18... numeric
@attribute -0.265ES5-0.224TT1-0.214LS32-0.198TT2-0.186LS2... numeric
@attribute -0.233ES14-0.19ES20+0.188TT31-0.186TT30-0.181TT13... numeric
@attribute -0.25LS23-0.236ES17+0.235LS6+0.185TT9+0.173ES28... numeric
@attribute 0.221TT16+0.221TT12+0.219LS31+0.217TT27+0.191ES1... numeric
@attribute 0.252LS1+0.196LS5-0.187LS32-0.185ES32-0.184LS20... numeric
@attribute '0.222LS28+0.212SS6+0.204ES26-0.196ES28+0.18 TT2...' numeric
@attribute 0.258ES18-0.206TT8+0.197TT17-0.194LS27+0.187TT6... numeric
@attribute -0.284ES27+0.262LS20+0.201SS13+0.201LS24-0.197ES13... numeric
@attribute 0.263ES24+0.243LS21+0.217ES19+0.203ES6+0.192number... numeric
@attribute 0.209ES5-0.208LS18-0.204ES10+0.186TT23-0.186LS32... numeric
@attribute 0.213TT28+0.209TT5+0.208LS17-0.19LS20+0.164LS6... numeric
@attribute -0.256TT30+0.238TT7-0.226LS2+0.199LS24+0.195TT9... numeric
@attribute '0.251LS20+0.221ES13+0.212ES9+0.2  SS14-0.2ES8...' numeric
@attribute -0.201ES12+0.198ES1-0.185TT30-0.178LS9-0.174TT8... numeric
@attribute -0.218SS1+0.214number+0.209TT1+0.186LS13+0.182TT6... numeric
@attribute 0.231LS17-0.226LS22+0.208LS27-0.2TT21-0.185ES1... numeric
@attribute '0.244TT3-0.233TT13+0.2  ES25+0.191LS14+0.188TT1...' numeric
@attribute '0.3  TT22+0.249LS5+0.234ES9+0.191TT9+0.189LS2...' numeric
@attribute -0.375ES6+0.256TT7+0.236ES23-0.223number+0.202TT19... numeric
@attribute 0.233ES21-0.207TT8-0.2LS24+0.193LS19-0.189TT23... numeric
@attribute '0.19 LS1-0.189TT4+0.187SS21+0.185TS6-0.182LS16...' numeric
@attribute 0.246TT3+0.187LS9-0.185ES20-0.179LS2-0.178SS1... numeric
@attribute -0.226LS19-0.223TT18-0.208ES26+0.194ES18+0.191ES12... numeric
@attribute '0.249LS21+0.2  TT4-0.195LS26+0.191LS28+0.183LS2...' numeric
@attribute 0.257ES1+0.199LS23-0.184TS6-0.181ES9+0.179TS21... numeric
@attribute -0.222ES2+0.207ES27+0.201LS14-0.199LS1-0.194LS22... numeric
@attribute -0.229ES22+0.227TT16-0.222TT20-0.219TT6-0.214ES13... numeric
@attribute '0.244LS28+0.233ES32+0.214ES6+0.205ES22+0.2  LS10...' numeric
@attribute 0.249ES24+0.238ES14+0.236LS22+0.182TS17+0.178TT16... numeric
@attribute '0.249LS20+0.21 LS6+0.175LS8-0.172TT13+0.169LS23...' numeric
@attribute -0.218SS1-0.212LS30-0.184LS29+0.163ES17-0.157TT26... numeric
@attribute -0.307LS13-0.226SS9-0.21TT22+0.205ES5-0.194TS21... numeric
@attribute '-0.281TS21-0.256ES26+0.22 SS14+0.204LS13+0.173LS16...' numeric
@attribute -0.235ES17+0.227LS12-0.206LS31-0.187ES25+0.182LS2... numeric
@attribute -0.28SS4+0.236SS20-0.209ES2+0.207LS19-0.199TT11... numeric
@attribute -0.236TT23+0.223SS6+0.203LS26+0.187TS12-0.167ES13... numeric
@attribute -0.202TS4-0.201TT23+0.172TT11-0.171LS1+0.165ES23... numeric
@attribute -0.248LS27-0.214TT6+0.191LS1+0.179ES27+0.178TT26... numeric
@attribute -0.265ES28-0.215LS22+0.214ES13-0.191LS16+0.179TT12... numeric
@attribute -0.225ES18+0.201LS10+0.196LS13+0.192SS25+0.178TT15... numeric
@attribute 0.216LS26+0.212LS21-0.198TS21-0.19TT28-0.189TS8... numeric
@attribute -0.224TS4+0.206LS9-0.203ES6-0.199SS12-0.198TS21... numeric
@attribute -0.241TT27+0.215TT31+0.211LS30+0.171ES20-0.167TT26... numeric
@attribute -0.231ES22+0.208ES1-0.205TT19+0.199LS26+0.171LS11... numeric
@attribute -0.217TT6-0.217TT1+0.208ES14+0.182LS23-0.178LS9... numeric
@attribute name {QUIMICA1RIP,control1,ethyleno1,ethyleno_cera}

@data
-5.376814,-6.850396,-0.407479,0.51712,0.62537,-0.51067,-3.800497,-2.898805,1.745549,0.783566,1.717191,0.003238,1.124592,0.397782,-1.343736,-1.170779,0.365557,0.587308,1.75595,-2.076629,1.131203,0.746857,-0.854987,-0.276344,0.871909,-1.020835,1.086363,0.692699,1.7007,-0.091658,1.594572,-0.70826,-0.554575,1.300024,-1.167079,-0.002687,-0.599605,2.285206,0.467596,0.867638,-2.5926,-2.533914,-0.350692,0.139914,-0.310301,0.523831,0.868849,-1.256909,2.951527,-0.599054,1.412841,0.087484,0.628288,0.567467,1.091247,QUIMICA1RIP
3.744641,0.779467,-0.092004,1.88828,1.336448,-0.054384,0.413846,-0.596981,1.208097,0.830667,-0.378126,1.346204,-0.645973,-0.305728,-0.674165,0.689719,1.283715,0.617848,-0.579195,0.237889,-1.069168,0.584131,-0.894106,-1.832452,0.089308,0.61006,-0.57656,1.250846,0.00684,-0.789017,1.393892,0.828091,0.367487,0.678499,-1.252509,-0.242344,-0.904402,-0.948241,-0.197795,-0.030407,-0.744415,-0.41207,0.198289,-0.335316,0.68065,0.71056,-0.131079,0.734921,0.16885,1.79742,0.810356,-1.032631,0.920852,-0.015041,1.292451,QUIMICA1RIP
5.037332,0.198961,-0.576892,0.01201,0.206283,0.204476,-0.955711,-0.035703,-2.935439,1.939837,0.011464,-1.167513,1.264351,2.264731,2.146814,0.362655,0.456652,-2.018501,-3.164637,-0.815994,0.806029,0.837719,0.235317,-0.281624,1.895854,1.818189,-1.261687,2.079722,-1.440898,0.743893,-1.166374,-0.874628,-1.021491,-2.678549,1.057556,0.459524,-0.513723,-1.083661,-1.525416,-1.719915,0.310865,-0.244039,-0.257293,2.356365,0.553579,1.773384,0.36183,-1.237796,1.586657,0.092444,-0.862881,-0.801196,0.481884,0.276064,0.241646,QUIMICA1RIP
5.859695,-0.072526,0.15629,0.440115,-0.045759,-0.575697,-0.105679,2.570418,1.900687,0.933796,-1.027826,-1.12162,3.623029,-0.00362,0.771467,0.491858,-0.934415,-1.277027,-0.46791,0.613269,0.444138,0.604307,1.719692,1.017798,2.194151,0.119196,-1.262505,1.656198,2.136074,-0.098626,0.74471,1.225431,1.168338,2.085864,0.346658,0.502609,1.085477,-2.101862,-0.735226,2.726723,0.113031,0.426453,-0.893059,1.326203,0.736463,-1.649668,1.032181,1.114547,0.170358,0.185111,1.416914,0.140588,-0.598433,1.120848,0.33334,QUIMICA1RIP
6.857139,-1.080232,0.564793,-0.062172,0.416458,-0.124481,1.118444,0.276402,-2.045684,1.336683,-1.509055,5.153167,-1.574445,-5.375185,0.298398,1.909021,1.219596,-2.24476,0.162207,-1.219609,2.326904,-1.569784,-0.247904,0.225693,-0.167797,-0.590611,3.675549,2.424917,-1.219647,-0.158226,2.221577,0.671063,-0.164341,0.385676,0.997788,-1.29281,-0.733036,-0.300324,-0.228573,-1.842862,1.562526,0.513234,-1.308261,-0.027523,-1.318089,-0.086854,0.395096,-0.828141,0.405615,-1.10702,0.875906,0.389309,-0.926629,-0.2771,-0.224863,QUIMICA1RIP
2.046813,1.856371,-0.064137,1.290719,0.629253,-1.149586,-2.513695,-1.957,1.409168,-0.831313,0.779825,-1.43998,-0.522408,1.860705,-0.806876,0.646641,-0.211677,-0.56909,-1.196523,-1.075748,-0.322734,0.592469,-0.949373,-0.756739,0.483724,0.892009,-1.186247,-1.155885,-0.88067,-0.820376,2.096328,0.428514,1.888856,-3.200951,1.910106,1.555805,-0.684236,0.092519,-1.149366,0.477657,0.623836,-0.417035,-0.869482,-0.334459,-2.232013,-0.326325,-0.365746,-1.098849,-0.706743,0.095722,0.049354,-0.972641,-1.022699,-0.451989,-0.268637,QUIMICA1RIP
2.923898,-2.200919,-0.147244,1.668321,1.899644,2.385584,-1.50486,-0.938769,1.611106,1.070889,1.737632,0.441116,2.505498,-0.10368,3.606902,-0.074512,-1.594351,-1.239574,-0.419029,2.372939,0.60345,0.991271,-0.815374,-2.093892,0.108388,-0.598397,-0.559748,-0.14507,-0.170798,1.423298,-0.927562,-1.022205,-0.195683,2.155732,-2.016147,-0.937123,-0.187216,0.360378,-1.130306,-0.950995,0.357815,-0.23378,-0.499488,-1.429127,-1.717789,-1.170275,-2.194402,-1.215741,0.76725,0.306944,-0.376806,-1.752496,-0.388349,-0.440044,-2.57306,QUIMICA1RIP
5.347852,0.275647,0.322447,1.743261,2.217373,-0.425626,-0.737902,2.38252,1.572537,0.42448,0.0267,0.990903,0.289739,2.149632,-0.146318,-1.164058,-0.154585,2.155369,0.613953,0.800792,0.139103,-1.034611,-1.599181,0.064092,-0.244485,-0.007464,-0.24826,0.994985,0.44171,0.424462,0.029207,0.415662,-0.601319,-0.745587,0.544739,0.646503,2.560894,-0.885855,1.689533,1.799479,0.688152,1.18663,-2.027746,0.528851,-0.084232,1.28623,-0.513074,0.591101,-0.05746,-1.452899,1.349818,0.64497,0.866256,1.615057,-0.975672,QUIMICA1RIP
2.739646,-1.581413,0.957176,1.623285,0.939667,0.13878,-1.461926,-0.841541,0.306713,1.326234,-1.13589,-2.698188,1.835328,-0.30506,0.975007,2.419453,-1.433931,-0.13646,1.348772,0.943253,1.032948,-0.006241,-1.686556,-1.176164,-0.536321,-0.644182,1.501911,1.128831,0.206921,-0.485542,0.356213,-0.90177,-0.614474,-1.47827,0.706496,-0.67015,0.051418,0.536952,-0.565026,-0.612963,-1.352858,0.779743,1.853762,-0.296791,-0.714594,-0.127412,-2.079914,0.051858,-1.963941,0.325853,1.416431,1.454095,0.37254,0.870983,1.399145,QUIMICA1RIP
4.937439,-1.034352,-0.093549,0.137634,-0.400333,1.582341,-2.310023,-0.015085,0.910532,3.004315,-3.234961,-2.205719,2.864161,1.627555,0.536612,2.555303,1.184245,2.363461,-0.213299,-0.496405,-1.135086,-0.402149,-0.362412,-1.013551,0.62126,-0.830092,-0.669638,0.520168,-0.046916,-0.783887,-0.535784,-0.783989,0.777756,-1.197042,-1.359149,-3.072785,-0.539502,1.781495,-1.097112,-1.583277,0.495453,1.680628,-0.266175,-0.97583,-0.162227,0.612438,0.594817,1.017634,0.424073,0.433462,-0.174994,0.599958,-0.545277,-0.662845,0.303077,QUIMICA1RIP
